entry_id,field_path,status,old_line,new_line,old_desc_preview,new_desc_preview
entry-00371,trace[5],no_anchor,346,346-354,在调用栈末端，tokens[roleForToken] 以 nextScopes 为 scopes 字段完成最终赋值，同时生成新 token 值并记录时间元数据…,
entry-00398,trace[5],no_anchor,413-421,407-413,在调用栈最下游，已被修改的 sessionEntry 先经 sessionStore[sessionKey] = sessionEntry 写入内存存储，随后若…,
entry-00400,critical_operation,no_anchor,254,254-258,initSessionState 内部调用 resolveCommandAuthorization 并将其返回值的 isAuthorizedSender 直接作…,
entry-00401,critical_operation,no_anchor,652,652-653,Tools.get_tool_valves_by_id 从数据库读取指定 tool_id 对应的全部 Valve 字段，并将结果字典直接作为响应体返回。漏洞在此…,
entry-00402,entry_point,no_anchor,77,77-90,processGatewayAllowlist 是 Gateway exec 工具的命令审批处理入口，接收外部传入的 params.command 字符串，随即…,
entry-00402,critical_operation,no_anchor,458,458-470,resolveShellWrapperPositionalArgvCandidatePath 在确认命令符合 shell 位置参数载体调用模式后，从 argv …,
entry-00402,trace[0],no_anchor,256,256-271,当审批询问返回 allow-always 决策时，processGatewayAllowlist 进入此分支：在 hostSecurity 为 allowlis…,
entry-00402,trace[1],no_anchor,265,265-269,resolveAllowAlwaysPatterns 返回的 patterns 集合在此处被逐一迭代：对每个非空字符串调用 addAllowlistEntry(…,
entry-00402,trace[2],no_anchor,567,567-582,resolveAllowAlwaysPatterns 从 caller processGatewayAllowlist 接收 segments 数组，通过迭代每…,
entry-00402,trace[3],no_anchor,516,516-528,collectAllowAlwaysPatterns 在调用 resolveShellWrapperPositionalArgvCandidatePath 获得…,
entry-00402,trace[4],no_anchor,454,454-468,resolveShellWrapperPositionalArgvCandidatePath 在验证 isDirectShellPositionalCarrie…,
entry-00402,trace[5],no_anchor,525,525-538,addAllowlistEntry 是整条漏洞链路的最终 sink：接收来自 caller 循环传入的 pattern 字符串，经去除首尾空白、去重检查后，将 …,
entry-00403,entry_point,no_anchor,619,619-621,handleSystemRunInvoke 是 Node host 侧处理 system-run 执行请求的异步入口函数，接收 HandleSystemRunI…,
entry-00403,critical_operation,no_anchor,458,458-462,carriedExecutable 的提取逻辑从 argv 中截取 inlineMatch.valueTokenIndex 之后的 token 序列，经 tri…,
entry-00403,trace[0],no_anchor,547,547-559,此条件分支核查 approvalDecision 为 allow-always、security 模式为 allowlist 且 inlineEvalHit 为…,
entry-00403,trace[1],no_anchor,559,559-564,随后，该循环遍历 resolveAllowAlwaysPatterns 返回的 patterns 集合，对每个非空 pattern 调用 addAllowlis…,
entry-00403,trace[2],no_anchor,567,567-578,resolveAllowAlwaysPatterns 作为从 Node host allow-always 分支到 collectAllowAlwaysPatt…,
entry-00403,trace[3],no_anchor,520,520-529,collectAllowAlwaysPatterns 调用 resolveShellWrapperPositionalArgvCandidatePath 检测当…,
entry-00403,trace[4],no_anchor,364,364-368,saveExecApprovals 将 ExecApprovalsFile 对象序列化为格式化 JSON，通过 fs.writeFileSync 以权限 0o6…,
entry-00404,entry_point,no_anchor,77,77-81,processGatewayAllowlist 是 exec 审批网关的顶层入口函数，接收外部传入的命令执行请求参数，调用 resolveExecHostApp…,
entry-00404,critical_operation,no_anchor,458,458-462,carriedExecutable 的提取逻辑对 argv 切片后取首个非空 token，仅检查其是否为空即完成校验，全程缺少对该路径是否为 dispatch …,
entry-00404,trace[0],no_anchor,256,256-265,decision 为 allow-always 的分支在审批结果确认后将 approvedByAsk 置为 true，在 hostSecurity 为 allo…,
entry-00404,trace[1],no_anchor,265,265-270,patterns 集合的遍历循环对每个非空 pattern 直接调用 addAllowlistEntry 执行持久化写入，未对 pattern 内容进行二次校验…,
entry-00404,trace[2],no_anchor,567,567-579,resolveAllowAlwaysPatterns 承接 allow-always 决策，遍历命令的 ExecCommandSegment 列表，对每个 se…,
entry-00404,trace[3],no_anchor,516,516-525,collectAllowAlwaysPatterns 在调用栈下游首先判断 trustPlan.shellWrapperExecutable：若未设置则将 ca…,
entry-00404,trace[4],no_anchor,454,454-462,resolveShellWrapperPositionalArgvCandidatePath 通过 isDirectShellPositionalCarrier…,
entry-00404,trace[5],no_anchor,525,525-534,addAllowlistEntry 是 allowlist 写入操作的终点 sink，将 pattern 字符串规范化后追加至目标 agentId 的 allo…,
entry-00405,entry_point,no_anchor,619,614-624,handleSystemRunInvoke 作为 Node host 侧处理 system-run 请求的入口函数，依次调用 parseSystemRunPha…,
entry-00405,critical_operation,no_anchor,458,453-463,resolveShellWrapperPositionalArgvCandidatePath 经 isDirectShellPositionalCarrierI…,
entry-00405,trace[0],no_anchor,547,542-552,此分支在 handleSystemRunInvoke 的策略执行阶段检查 phase.policy.approvalDecision 为 allow-alway…,
entry-00405,trace[1],no_anchor,559,554-564,随后此段代码以 phase.segments、phase.cwd、phase.env 及 process.platform 为参数调用 resolveAllow…,
entry-00405,trace[2],no_anchor,567,562-572,在调用栈下游，resolveAllowAlwaysPatterns 接收 segments、cwd、env、platform 参数，遍历每个 ExecComma…,
entry-00405,trace[3],no_anchor,520,515-525,随后 collectAllowAlwaysPatterns 在 trustPlan.shellWrapperExecutable 存在时，调用 resolveS…,
entry-00405,trace[4],no_anchor,364,359-369,saveExecApprovals 调用 resolveExecApprovalsPath 定位文件路径并通过 ensureDir 确保目录存在，随后以 JSO…,
entry-00411,critical_operation,no_anchor,76,76-90,The applyMessageProviderToolPolicy function filters tools via a deny-list keyed …,
entry-00412,entry_point,no_anchor,459,459-476,notifications.changed 分支调用 parsePayloadObject 解析节点上报的 payloadJSON，从返回对象读取 key 与 …,
entry-00412,critical_operation,no_anchor,109,109-111,drainFormattedSystemEvents 对 systemLines 中每一项执行 split 拆分后逐子行拼接 System: 前缀，再以换行符合…,
entry-00458,critical_operation,would_update,549,549-557,第549行 if 条件块是 device-less 连接路径上 clearUnboundScopes() 的唯一触发门。条件右侧白名单含 token、passw…,第 549-557 行 if 条件块是 device-less 连接路径上 clearUnboundScopes() 的唯一触发门。条件右侧白名单含 token…
entry-00458,trace[0],would_update,393,393-394,"message-handler.ts 第 393 行从 connectParams 中读取 role 字段（缺省 ""operator""），调用 parseGat…","message-handler.ts 第 393-394 行从 connectParams 中读取 role 字段（缺省 ""operator""），调用 pars…"
entry-00458,trace[1],would_update,466,466-474,message-handler.ts 第 466 行以 await 形式调用 resolveConnectAuthState，传入 resolvedAuth、c…,message-handler.ts 第 466-474 行以 await 形式调用 resolveConnectAuthState，传入 resolvedAu…
entry-00458,trace[2],would_update,151,151-154,auth-context.ts 第 151 行在 resolveConnectAuthState 内部计算 sharedAuthOk：当 authResult.…,auth-context.ts 第 151-154 行在 resolveConnectAuthState 内部计算 sharedAuthOk：当 authRes…
entry-00458,trace[3],would_update,522,522-527,message-handler.ts 第 522 行定义内部函数 handleMissingDeviceIdentity，并在函数体内调用 isTrustedP…,message-handler.ts 第 522-527 行定义内部函数 handleMissingDeviceIdentity，并在函数体内调用 isTrus…
entry-00458,trace[4],would_update,62,62-71,connect-policy.ts 第 62 行定义的 isTrustedProxyControlUiOperatorAuth 以 params.isContr…,connect-policy.ts 第 62-71 行定义的 isTrustedProxyControlUiOperatorAuth 以 params.isCo…
entry-00458,trace[5],would_update,535,535-545,message-handler.ts 第 535 行调用 evaluateMissingDeviceIdentity，传入 hasDeviceIdentity=…,message-handler.ts 第 535-545 行调用 evaluateMissingDeviceIdentity，传入 hasDeviceIdent…
entry-00458,trace[6],would_update,119,119-121,connect-policy.ts 第 119 行在 evaluateMissingDeviceIdentity 内调用 roleCanSkipDeviceId…,connect-policy.ts 第 119-121 行在 evaluateMissingDeviceIdentity 内调用 roleCanSkipDevi…
entry-00458,trace[7],would_update,14,14-16,"role-policy.ts 第 14 行的 roleCanSkipDeviceIdentity 仅凭 role === ""operator"" && share…","role-policy.ts 第 14-16 行的 roleCanSkipDeviceIdentity 仅凭 role === ""operator"" && sh…"
entry-00458,trace[8],would_update,549,549-557,message-handler.ts 第 549 行 if 条件块作为整条调用链的收口：经 resolveConnectAuthState 确认 authMet…,message-handler.ts 第 549-557 行 if 条件块作为整条调用链的收口：经 resolveConnectAuthState 确认 aut…
